CAl
CH2AlN
CB
CBSi
CB2
CB4
CBe2
CBr
CBrF2
CBrN
CBrNO
CBrNO
CBrNS
CBrNSe
CBr2
CBr2ClF
CBr2O
CBr3
CBr3Cl
CBr4
CCe
CCeRh
CCeRu
CCeSi
CCl
CClF
CClFO
CClFS
CClF2
CClF3O2S
CClF3S
CClN
CClNO
CClNS
CClNSe
CClO
CCl2
CCl2F
CCl2F2
CCl2O
CCl2OS
CCl2S
CCl2S2
CCl3
CCl3F
CCl3NO2
CCl4
CCs2O3
CCuN
CEuN
CF
CFN
CFO
CF2
CF2NOP
